website_type,safety_r,reputation,trustworthiness,child_safety,readability
2,1,0,0,0,2
2,1,3.3,66,61,2
2,1,0,0,0,2
3,1,2.5,50,52,3
2,1,0,0,0,0
2,1,0,0,0,0
2,2,3.1,63,68,0
2,1,0,0,0,0
2,2,3.9,77,99,5
2,1,0,0,0,0
2,2,4.1,82,90,2
8,2,4.6,92,92,1
2,2,4.7,94,82,0
7,2,4.7,93,89,5
2,1,2.4,48,3,2
4,1,0,0,0,0
2,1,2.9,58,80,3
2,1,0,0,0,1
2,1,0,0,0,2
2,2,4.5,89,87,2
2,2,4.7,94,82,0
2,2,3.5,70,74,0
2,2,4.7,94,94,4
2,1,0,0,0,1
2,1,2.8,56,56,1
2,1,4,80,93,0
2,1,0,0,0,1
2,2,3.5,69,70,0
2,2,4,81,76,0
2,1,0,0,0,2
2,1,2.5,50,11,2
2,2,3.5,69,70,3
2,1,2.5,50,0,4
2,2,3.1,63,68,2
1,1,3,60,54,0
2,2,3.1,63,68,3
2,1,0,0,0,3
2,1,2.5,50,0,2
2,1,0,0,0,2
2,1,0,0,0,0
2,1,2.5,50,11,5
2,1,0,0,0,2
2,1,4,80,93,1
2,2,3.1,63,68,0
2,1,0,0,0,4
2,2,4.5,89,87,3
2,2,3.5,69,70,0
2,2,3.1,63,68,0
2,1,0.3,7,29,2
2,1,0,0,0,0
2,1,0,0,0,2
2,1,2.5,50,0,0
2,2,4.7,94,82,0
2,2,4.3,85,87,2
2,1,4,80,93,1
2,1,2.1,42,58,3
2,1,3.3,65,84,2
2,2,4.4,88,88,3
2,1,4.2,84,0,0
2,1,4,80,93,2
2,2,3.5,69,70,2
2,1,0,0,0,1
1,2,3.6,72,85,1
2,2,3.5,69,70,0
1,2,3.6,72,85,3
2,2,4.7,94,82,0
2,1,4,80,93,0
2,2,4.7,94,82,0
2,1,0,0,0,1
2,2,4.3,86,89,0
2,1,0,0,0,1
2,2,4.7,94,82,0
2,1,3.5,70,0,4
2,1,2.5,50,0,2
2,1,0,0,0,2
2,2,4.7,94,82,0
2,1,4,80,93,0
2,2,4.5,89,87,2
2,2,3.1,63,68,2
2,2,3.5,69,70,1
2,1,4,80,93,0
2,1,4.3,86,100,0
2,1,3,60,0,1
2,2,4.5,89,87,3
3,2,4.3,86,84,0
2,1,0,0,0,3
2,2,4.7,94,82,0
1,1,3,60,54,0
2,2,4.7,94,82,1
2,1,0,0,0,0
2,2,4.5,89,87,2
2,1,0,0,0,0
2,2,4.7,94,94,2
2,2,4.7,94,82,3
2,1,0,0,0,2
2,1,4,80,93,5
2,2,4.7,94,82,0
2,1,2.8,56,56,0
2,1,0,0,0,2
2,2,4.7,94,82,0
2,2,4.3,87,87,1
2,1,3.6,72,93,0
2,2,3.1,63,68,3
2,2,4.7,94,82,0
2,2,4.5,89,87,2
2,1,0,0,0,1
2,2,4.5,89,87,1
2,2,4.7,94,82,0
2,2,3.9,77,99,2
2,1,2.5,50,11,0
2,2,4.7,94,82,0
1,2,3.6,72,85,0
2,1,3.3,65,82,2
2,2,4.5,89,87,4
3,2,4.3,86,84,0
2,2,4.7,94,82,0
2,2,4.5,89,87,2
2,1,4,80,93,0
2,2,4.7,94,82,0
2,2,3.1,63,68,3
2,1,0,0,0,2
2,2,4.7,94,82,0
2,2,4.3,87,87,4
2,2,3.1,63,68,0
2,2,4.7,94,82,0
2,2,4.5,90,89,3
3,1,3.9,78,82,1
2,1,0,0,0,2
2,1,3.8,76,97,1
2,1,0,0,0,3
2,1,0,0,0,2
2,2,4,81,76,3
