friends,followes,date
0,0,790
0,0,819
0,0,813
0,0,806
0,0,816
31593,30850,807
0,0,818
0,0,808
247038,239927,819
0,0,816
0,0,814
0,0,799
62322,60724,820
224402,223919,820
28514,26157,817
0,0,814
457911,402901,814
0,0,804
0,0,802
77740,76520,818
996193,739521,805
0,0,812
0,0,801
9916,9353,803
37718,36462,814
846903,806206,814
0,0,819
0,0,805
0,0,807
0,0,819
10248,10271,816
537448,523515,812
0,0,814
0,0,817
26489,26652,813
26489,26652,792
996193,739521,805
616920,597053,810
0,0,820
0,0,817
0,0,816
0,0,814
0,0,820
0,0,811
0,0,818
46824,46236,800
537448,523515,811
0,0,819
0,0,818
62322,60724,815
34512,34121,793
0,0,807
28514,26157,810
0,0,814
0,0,819
28514,26157,819
0,0,818
4157,4344,816
457911,402901,812
0,0,818
0,0,819
246043,515530,818
358257,150016,815
0,0,811
0,0,819
628597,617338,811
62322,60724,813
10248,10271,816
37718,36462,820
0,0,808
0,0,808
0,0,819
0,0,819
0,0,819
0,0,818
46824,46236,818
0,0,815
0,0,810
0,0,807
0,0,798
44979,43167,818
0,0,811
37718,36462,811
0,0,816
0,0,792
0,0,799
0,0,817
189418,186681,804
0,0,819
616920,597053,814
247038,239927,816
0,0,819
0,0,818
111722,106126,816
0,0,807
0,0,819
46824,46236,819
0,0,819
0,0,819
0,0,800
189418,186681,807
330704,318461,819
0,0,816
0,0,818
0,0,819
149787,144566,811
0,0,805
0,0,809
0,0,818
0,0,820
0,0,813
942649,944949,818
246043,515530,818
246043,515530,818
0,0,801
0,0,807
0,0,820
12055,11750,813
231947,228432,796
0,0,813
247459,141328,819
0,0,820
0,0,814
189418,186681,812
457911,402901,809
0,0,819
416462,418512,807
0,0,796
0,0,814
0,0,810
17731,17847,793
1402,1375,806
0,0,811
0,0,815
0,0,809
46824,46236,808
0,0,799
0,0,820
0,0,818
0,0,813
0,0,798
0,0,813
0,0,817
4157,4344,812
0,0,819
0,0,814
0,0,814
0,0,817
0,0,804
0,0,817
0,0,817
440208,914158,815
9916,9353,805
0,0,814
21813,22456,800
416462,418512,815
0,0,818
44979,43167,819
0,0,814
246043,515530,818
440208,914158,817
0,0,811
21813,22456,794
0,0,802
0,0,804
118605,114819,815
0,0,819
13292,13292,801
0,0,819
0,0,818
42042,41347,813
996193,739521,798
0,0,819
0,0,819
440208,914158,816
0,0,807
0,0,814
0,0,811
616920,597053,815
26489,26652,807
10248,10271,817
0,0,818
0,0,811
0,0,817
0,0,814
0,0,812
0,0,810
4949,4925,812
0,0,814
149787,144566,799
416462,418512,811
0,0,803
0,0,817
0,0,818
0,0,808
0,0,804
42042,41347,811
10255,10664,791
0,0,817
0,0,811
416462,418512,808
37718,36462,814
0,0,810
79800,79476,801
330704,318461,819
0,0,808
537448,523515,817
21813,22456,804
0,0,804
0,0,819
0,0,792
0,0,819
0,0,814
416462,418512,818
0,0,810
0,0,819
0,0,810
0,0,795
0,0,800
358257,150016,817
0,0,804
34512,34121,812
0,0,819
10248,10271,814
0,0,817
0,0,808
0,0,805
0,0,812
0,0,817
0,0,810
0,0,800
0,0,818
0,0,815
149787,144566,818
0,0,803
846903,806206,814
37718,36462,819
616920,597053,813
79800,79476,811
79800,79476,813
77740,76520,819
0,0,819
111722,106126,814
0,0,808
0,0,817
37718,36462,811
0,0,813
628597,617338,800
118605,114819,814
0,0,811
628597,617338,812
0,0,818
0,0,813
247459,141328,819
242009,249571,818
0,0,818
62322,60724,814
0,0,790
28514,26157,815
0,0,818
149787,144566,791
0,0,804
9916,9353,796
457911,402901,808
31190,31215,817
0,0,819
4949,4925,813
846903,806206,815
616920,597053,814
118605,114819,820
31190,31215,816
79800,79476,810
0,0,817
6864,6990,799
6864,6990,808
0,0,811
0,0,818
0,0,806
0,0,801
0,0,814
0,0,807
0,0,793
0,0,818
44979,43167,808
62322,60724,819
0,0,815
440208,914158,819
0,0,812
0,0,816
0,0,820
77740,76520,819
0,0,817
0,0,811
31593,30850,812
149787,144566,791
37718,36462,818
0,0,806
0,0,819
0,0,817
0,0,812
0,0,814
0,0,802
0,0,818
628597,617338,800
9916,9353,802
0,0,809
77740,76520,817
416462,418512,807
37718,36462,818
823844,815195,819
0,0,818
0,0,805
189418,186681,810
224402,223919,819
0,0,815
0,0,820
0,0,817
31593,30850,808
189418,186681,814
0,0,810
0,0,814
628597,617338,807
0,0,820
0,0,819
0,0,813
0,0,814
26489,26652,799
1711,1675,814
149787,144566,797
0,0,806
0,0,813
942649,944949,819
21813,22456,812
0,0,811
0,0,818
0,0,819
10074,10560,791
242009,249571,816
31190,31215,818
0,0,819
0,0,819
0,0,808
0,0,813
